paralog_pair,gene_A,gene_B,n_cell_lines_scored,scored_in_PC9,scored_in_HeLa,prediction_PC9,prediction_HeLa
ANKRD36B_ANKRD36C,ANKRD36B,ANKRD36C,2,TRUE,TRUE,0.14487268,0.094552048
ANKRD36B_POTEB,ANKRD36B,POTEB,1,TRUE,FALSE,0.360817671,
ANKRD36B_POTEB2,ANKRD36B,POTEB2,1,TRUE,FALSE,0.387327999,
ANKRD36B_POTEB3,ANKRD36B,POTEB3,1,TRUE,FALSE,0.372612447,
ANKRD36B_POTEG,ANKRD36B,POTEG,1,TRUE,FALSE,0.143763825,
ANKRD36B_POTEH,ANKRD36B,POTEH,1,TRUE,FALSE,0.128119498,
ANKRD36B_POTEM,ANKRD36B,POTEM,1,TRUE,FALSE,0.180687219,
ANKRD36C_POTEB,ANKRD36C,POTEB,2,TRUE,TRUE,0.379925072,0.23754631
ANKRD36C_POTEB2,ANKRD36C,POTEB2,2,TRUE,TRUE,0.336316645,0.237404481
ANKRD36C_POTEB3,ANKRD36C,POTEB3,2,TRUE,TRUE,0.305667698,0.210987523
ANKRD36C_POTEG,ANKRD36C,POTEG,2,TRUE,TRUE,0.20531109,0.245302558
ANKRD36C_POTEH,ANKRD36C,POTEH,2,TRUE,TRUE,0.218835339,0.227852166
ANKRD36C_POTEM,ANKRD36C,POTEM,2,TRUE,TRUE,0.237494752,0.246219814
ANKRD36_ANKRD36B,ANKRD36,ANKRD36B,1,TRUE,FALSE,0.177579418,
ANKRD36_ANKRD36C,ANKRD36,ANKRD36C,2,TRUE,TRUE,0.199020937,0.084917657
ANKRD36_POTEB,ANKRD36,POTEB,1,TRUE,FALSE,0.35280627,
ANKRD36_POTEB2,ANKRD36,POTEB2,1,TRUE,FALSE,0.326199055,
ANKRD36_POTEB3,ANKRD36,POTEB3,1,TRUE,FALSE,0.288733661,
ANKRD36_POTEG,ANKRD36,POTEG,1,TRUE,FALSE,0.22517167,
ANKRD36_POTEH,ANKRD36,POTEH,1,TRUE,FALSE,0.234358996,
ANKRD36_POTEM,ANKRD36,POTEM,1,TRUE,FALSE,0.253431231,
ANXA8_ANXA8L1,ANXA8,ANXA8L1,1,TRUE,FALSE,0.231154621,
ARL17A_ARL17B,ARL17A,ARL17B,1,TRUE,FALSE,0.173137769,
ASMT_ASMTL,ASMT,ASMTL,1,TRUE,FALSE,0.022818182,
BPY2B_BPY2C,BPY2B,BPY2C,1,TRUE,FALSE,0.110576645,
BPY2_BPY2B,BPY2,BPY2B,1,TRUE,FALSE,0.108559452,
BPY2_BPY2C,BPY2,BPY2C,1,TRUE,FALSE,0.112839207,
C4A_C4B,C4A,C4B,2,TRUE,TRUE,0.062267561,0.011749103
CCL3L3_CCL4,CCL3L3,CCL4,1,TRUE,FALSE,0.200885132,
CCL3L3_CCL4L2,CCL3L3,CCL4L2,1,TRUE,FALSE,0.333353788,
CCL4_CCL4L2,CCL4,CCL4L2,1,TRUE,FALSE,0.161872432,
CCZ1_CCZ1B,CCZ1,CCZ1B,1,TRUE,FALSE,0.153855786,
CD300E_CD300LB,CD300E,CD300LB,2,TRUE,TRUE,0.000101393,0.00098429
CDY1B_CDY2A,CDY1B,CDY2A,1,TRUE,FALSE,0.077874213,
CDY1B_CDY2B,CDY1B,CDY2B,1,TRUE,FALSE,0.082819037,
CDY1_CDY1B,CDY1,CDY1B,1,TRUE,FALSE,0.086250775,
CDY1_CDY2A,CDY1,CDY2A,1,TRUE,FALSE,0.077874213,
CDY1_CDY2B,CDY1,CDY2B,1,TRUE,FALSE,0.077874213,
CDY2A_CDY2B,CDY2A,CDY2B,1,TRUE,FALSE,0.083992839,
CGB1_CGB2,CGB1,CGB2,1,TRUE,FALSE,0.206491917,
CGB1_CGB3,CGB1,CGB3,1,TRUE,FALSE,0.211085722,
CGB1_CGB5,CGB1,CGB5,1,TRUE,FALSE,0.205641687,
CGB1_CGB7,CGB1,CGB7,1,TRUE,FALSE,0.216342762,
CGB1_CGB8,CGB1,CGB8,1,TRUE,FALSE,0.212017596,
CGB2_CGB3,CGB2,CGB3,1,TRUE,FALSE,0.201651737,
CGB2_CGB5,CGB2,CGB5,1,TRUE,FALSE,0.197028711,
CGB2_CGB7,CGB2,CGB7,1,TRUE,FALSE,0.2063106,
CGB2_CGB8,CGB2,CGB8,1,TRUE,FALSE,0.198921576,
CGB3_CGB5,CGB3,CGB5,1,TRUE,FALSE,0.206985787,
CGB3_CGB7,CGB3,CGB7,1,TRUE,FALSE,0.203734562,
CGB3_CGB8,CGB3,CGB8,1,TRUE,FALSE,0.212357715,
CGB5_CGB7,CGB5,CGB7,1,TRUE,FALSE,0.208513334,
CGB5_CGB8,CGB5,CGB8,1,TRUE,FALSE,0.199943811,
CGB7_CGB8,CGB7,CGB8,1,TRUE,FALSE,0.199205071,
CKMT1A_CKMT1B,CKMT1A,CKMT1B,2,TRUE,TRUE,0.044728596,0.172680959
CSAG2_CSAG3,CSAG2,CSAG3,1,TRUE,FALSE,0.192370236,
CSF2RA_IL3RA,CSF2RA,IL3RA,1,TRUE,FALSE,0.00414759,
CSH1_CSH2,CSH1,CSH2,1,TRUE,FALSE,0.124578714,
CT45A1_CT45A10,CT45A1,CT45A10,1,TRUE,FALSE,0.078654833,
CT45A1_CT45A2,CT45A1,CT45A2,1,TRUE,FALSE,0.089516208,
CT45A1_CT45A3,CT45A1,CT45A3,1,TRUE,FALSE,0.052884046,
CT45A1_CT45A5,CT45A1,CT45A5,1,TRUE,FALSE,0.046534404,
CT45A1_CT45A6,CT45A1,CT45A6,1,TRUE,FALSE,0.092260823,
CT45A1_CT45A7,CT45A1,CT45A7,1,TRUE,FALSE,0.061854128,
CT45A1_CT45A8,CT45A1,CT45A8,1,TRUE,FALSE,0.090709902,
CT45A1_CT45A9,CT45A1,CT45A9,1,TRUE,FALSE,0.06536708,
CT45A2_CT45A10,CT45A2,CT45A10,1,TRUE,FALSE,0.084889956,
CT45A2_CT45A3,CT45A2,CT45A3,1,TRUE,FALSE,0.078910954,
CT45A2_CT45A5,CT45A2,CT45A5,1,TRUE,FALSE,0.080557331,
CT45A2_CT45A6,CT45A2,CT45A6,1,TRUE,FALSE,0.126824036,
CT45A2_CT45A7,CT45A2,CT45A7,1,TRUE,FALSE,0.106250711,
CT45A2_CT45A8,CT45A2,CT45A8,1,TRUE,FALSE,0.134113684,
CT45A2_CT45A9,CT45A2,CT45A9,1,TRUE,FALSE,0.080668859,
CT45A3_CT45A10,CT45A3,CT45A10,1,TRUE,FALSE,0.05472916,
CT45A3_CT45A5,CT45A3,CT45A5,1,TRUE,FALSE,0.095486261,
CT45A3_CT45A6,CT45A3,CT45A6,1,TRUE,FALSE,0.081366807,
CT45A3_CT45A7,CT45A3,CT45A7,1,TRUE,FALSE,0.110056952,
CT45A3_CT45A8,CT45A3,CT45A8,1,TRUE,FALSE,0.109648742,
CT45A3_CT45A9,CT45A3,CT45A9,1,TRUE,FALSE,0.106379583,
CT45A5_CT45A10,CT45A5,CT45A10,1,TRUE,FALSE,0.050619289,
CT45A5_CT45A6,CT45A5,CT45A6,1,TRUE,FALSE,0.087241001,
CT45A5_CT45A7,CT45A5,CT45A7,1,TRUE,FALSE,0.112890445,
CT45A5_CT45A8,CT45A5,CT45A8,1,TRUE,FALSE,0.10319186,
CT45A5_CT45A9,CT45A5,CT45A9,1,TRUE,FALSE,0.098043784,
CT45A6_CT45A10,CT45A6,CT45A10,1,TRUE,FALSE,0.093947798,
CT45A6_CT45A7,CT45A6,CT45A7,1,TRUE,FALSE,0.113444403,
